school_name,count
学校名称,178
宁夏长庆小学,1
银川市第二十一小学,1
宁夏回族自治区银川一中,1
宁夏大学附属中学,1
宁夏育才中学,1
宁夏长庆初级中学,1
宁夏长庆高级中学,1
宁夏嘉园双语幼儿园,1
宁夏新世纪嘉园分园,1
银川东晨第一幼儿园,1
银川东晨第二幼儿园,1
银川丽水幼儿园,1
银川众一海宝龙幼儿园,1
银川友爱幼儿园,1
银川启明星第一幼儿园,1
银川启明星第二幼儿园,1
银川天都幼儿园,1
银川市邮电幼儿园,1
银川星光华幼儿园,1
银川西夏德胜幼儿园,1
银川西夏新大地幼儿园,1
银川八一小学,1
银川博文小学,1
银川市博文小学,1
银川市实验小学,1
银川西夏德胜小学,1
宁夏岳麓高级中学,1
宁夏开元中学,1
银川唐徕回民中学,1
银川外国语实验学校,1
银川市二中西校区,1
银川市实验中学,1
银川市第九中学,1
银川市第二中学,1
银川市第六中学,1
银川景博中学,1
银川英才学校,1
银川高级中学,1
三建幼儿园,1
上前城星月回民幼儿园,1
主题阳光幼儿园,1
丽景雅居幼儿园,1
书琴幼儿园,1
兴庆区夏都幼儿园,1
兴庆区惠园幼儿园,1
兴庆区燕鸽湖幼儿园,1
吉睿幸福幼儿园,1
大新中心幼儿园,1
大新村幼儿园,1
太阳都市幼儿园,1
宝庆幼儿园,1
小巨龙幼儿园,1
康宝幼儿园,1
建源启明星三幼掌政鸣翠幼儿园,1
掌政中心幼儿园,1
新世界天使幼儿园,1
新水桥回民幼儿园,1
旭日龙幼儿园,1
春桥幼儿园,1
春苗幼儿园,2
未来星幼儿园,2
梓苑幼儿园,1
民乐回民幼儿园,1
江南水乡幼儿园,1
燕庆实验幼儿园,1
爱心幼儿园,3
百惠幼儿园,1
红黄蓝幼儿园,1
蓝天幼儿园,4
通贵中坤幼儿园,1
都市阳光幼儿园,1
金色阳光幼儿园,1
银川二幼枫叶桥幼儿园,1
银川剑桥双语幼儿园,1
银川市世纪幼儿园,1
银川市宗睦幼儿园,1
银川市林华幼儿园,1
银川市清湖幼儿园,1
银川市燕鸽幼儿园,1
银川市第三幼儿园,1
银川市第二幼儿园,1
银川市第五幼儿园,1
银川市第四幼儿园,1
唐徕北塔小学,1
宁夏蒙特梭利国际学校,1
少林精英小学,1
银川市兴区第十五小学,1
银川市兴庆区上前城小学,1
银川市兴庆区八里桥小学,1
银川市兴庆区友爱小学,1
银川市兴庆区司家桥小学,1
银川市兴庆区唐徕回民小学,1
银川市兴庆区回民第一小学,1
银川市兴庆区回民第三小学,1
银川市兴庆区回民第二小学,1
银川市兴庆区塔桥小学,1
银川市兴庆区大塘中心小学,1
银川市兴庆区官湖小学,1
银川市兴庆区张桂英希望小学,1
银川市兴庆区掌政中心小学,1
银川市兴庆区新水桥回民小学,1
银川市兴庆区新渠稍小学,1
银川市兴庆区春林小学,1
银川市兴庆区景岳小学,1
银川市兴庆区民乐小学,1
银川市兴庆区海军希望小学,1
银川市兴庆区海宝逸夫小学,1
银川市兴庆区满春小学,1
银川市兴庆区碱富桥小学,1
银川市兴庆区第七小学,1
银川市兴庆区第三小学,1
银川市兴庆区第二十三小学,1
银川市兴庆区第二十二小学,1
银川市兴庆区第二十五小学,1
银川市兴庆区第二十四小学,1
银川市兴庆区第二小学,1
银川市兴庆区第五小学,1
银川市兴庆区第六小学,1
银川市兴庆区第十一小学,1
银川市兴庆区第十九小学,1
