school_name,school_address,school_type,school_url,school_area
1+1幼儿园,"","","",1
123音乐培训中心,"","","",1
21世纪教育培训学校,"","","",1
21世纪英语培训中心,"","","",1
e佰分英语培训中心,"","","",1
M.rli优美英语学校,"","","",1
一品尚都中心幼儿园,"","","",1
丁岗堡小学,"","","",1
七彩凌云艺术学校,"","","",1
七彩幼儿园,"","","",1
七彩燕艺术学校,"","","",1
七彩艺术培训中心,"","","",1
七彩艺术学校,"","","",1
七彩艺校吴忠分校,"","","",1
七彩艺校贺兰县分校,"","","",1
七彩豆豆艺术培训学校,"","","",1
七百户小学,"","","",1
七色笔培训中心,"","","",1
七色花幼儿园,"","","",1
三岔小学,"","","",1
宁夏农林科学院附属小学,宁夏银川市西夏区芦花台园林声场,小学,http://www.nxzyk.com,2
西夏区兴泾镇回民一小,银川市西夏区兴泾镇西干村兴泾回民一小,小学,http://xxqxj1x.30edu.com/,2
西夏区兴泾镇回民三小,银川市西夏区兴泾镇泾华村,小学,http://xjzhmsx.30edu.com/,2
西夏区兴泾镇回民二小,银川市西夏区兴泾镇泾河村,小学,http://www.nxzyk.com,2
西夏区兴泾镇回民四小,西夏区兴泾镇十里铺村,小学,http://xjsx.30edu.com/,2
西夏区南梁小学,银川市西夏区南梁农场场部,小学,http://xxnlxx.30edu.com/,2
西夏区回民小学,银川市西夏区同心北路444号,小学,http://xxhx.30edu.com/,2
西夏区平吉堡小学,宁夏银川市西夏区平吉堡小学,小学,http://xxpjixx.30edu.com/,2
西夏区第一小学,银川市西夏区,小学,http://www.xixiayixiao.30edu.com/,2
西夏区第七小学,银川市西夏区怀远西路恩和巷6号,小学,http://xx7x.cn21edu.com/,2
西夏区第三小学,西夏区北京西路251号,小学,http://xx3x.30edu.com/,2
西夏区第九小学,银川市西夏区怀远西路欣益巷9号,小学,http://ycxx9x.30edu.com/,2
西夏区第二小学,银川市西夏区宁华路1050号,小学,http://xx2x.30edu.com/,2
西夏区第五小学,银川市西夏区怀远东路沟沿巷57号,小学,http://xx5x.30edu.com/,2
西夏区第八小学,黄河西路12号,小学,http://xx8x.30edu.com/,2
西夏区第六小学,宁夏银川市西花园北巷100号,小学,http://xx6x.30edu.com/,2
西夏区第十一小学,宁夏银川市西夏区怀远东路广育巷18号,小学,http://xxsyx.30edu.com/,2
西夏区第十二小学,西夏区北京西路西夏小区内,小学,http://xx12x.30edu.com/,2
西夏区第十五小学,北京西路750号,小学,http://ycsxxqswxx.30edu.com/,2
西夏区第十六小学,西夏区济民路以北文萃南路延伸线以东,小学,http://www.nxzyk.com/,2
