school_name,school_address,school_type,school_url,school_province,school_city,school_distinct
宁夏长庆小学,宁夏银川市通达南街金凤小区旁边,小学,http://www.nxzyk.com,宁夏回族自治区,教育厅直属,""
银川市第二十一小学,银川市兴庆区民族北街84号,小学,http://www.21x.cn/,宁夏回族自治区,教育厅直属,""
宁夏长庆小学,宁夏银川市通达南街金凤小区旁边,小学,http://www.nxzyk.com,宁夏回族自治区,教育厅直属,""
银川市第二十一小学,银川市兴庆区民族北街84号,小学,http://www.21x.cn/,宁夏回族自治区,教育厅直属,""
宁夏回族自治区银川一中,民族南街656号,高中,http://www.ycyz.com.cn/,宁夏回族自治区,教育厅直属,""
宁夏大学附属中学,西夏区怀远路250号,中学,http://www.nxzyk.com/,宁夏回族自治区,教育厅直属,""
宁夏育才中学,银川市西夏区金波北路,高中,http://www.nxzyk.com/,宁夏回族自治区,教育厅直属,""
宁夏长庆初级中学,宁夏银川市石油城七区,初中,http://nxcqcz.com/,宁夏回族自治区,教育厅直属,""
宁夏长庆高级中学,宁夏银川市大新镇石油城,高中,http://nxcqgz.30edu.com/,宁夏回族自治区,教育厅直属,""
宁夏回族自治区银川一中,民族南街656号,高中,http://www.ycyz.com.cn/,宁夏回族自治区,教育厅直属,""
宁夏大学附属中学,西夏区怀远路250号,中学,http://www.nxzyk.com/,宁夏回族自治区,教育厅直属,""
宁夏育才中学,银川市西夏区金波北路,高中,http://www.nxzyk.com/,宁夏回族自治区,教育厅直属,""
宁夏长庆初级中学,宁夏银川市石油城七区,初中,http://nxcqcz.com/,宁夏回族自治区,教育厅直属,""
宁夏长庆高级中学,宁夏银川市大新镇石油城,高中,http://nxcqgz.30edu.com/,宁夏回族自治区,教育厅直属,""
宁夏嘉园双语幼儿园,"",幼儿园,"",宁夏回族自治区,银川市,银川市直属
宁夏新世纪嘉园分园,"",幼儿园,"",宁夏回族自治区,银川市,银川市直属
银川东晨第一幼儿园,"",幼儿园,"",宁夏回族自治区,银川市,银川市直属
银川东晨第二幼儿园,"",幼儿园,"",宁夏回族自治区,银川市,银川市直属
银川丽水幼儿园,"",幼儿园,"",宁夏回族自治区,银川市,银川市直属
银川众一海宝龙幼儿园,"",幼儿园,"",宁夏回族自治区,银川市,银川市直属
银川友爱幼儿园,"",幼儿园,"",宁夏回族自治区,银川市,银川市直属
银川启明星第一幼儿园,"",幼儿园,"",宁夏回族自治区,银川市,银川市直属
银川启明星第二幼儿园,"",幼儿园,"",宁夏回族自治区,银川市,银川市直属
银川天都幼儿园,"",幼儿园,"",宁夏回族自治区,银川市,银川市直属
银川市邮电幼儿园,"",幼儿园,"",宁夏回族自治区,银川市,银川市直属
银川星光华幼儿园,"",幼儿园,"",宁夏回族自治区,银川市,银川市直属
银川西夏德胜幼儿园,"",幼儿园,"",宁夏回族自治区,银川市,银川市直属
银川西夏新大地幼儿园,"",幼儿园,"",宁夏回族自治区,银川市,银川市直属
宁夏嘉园双语幼儿园,"",幼儿园,"",宁夏回族自治区,银川市,银川市直属
宁夏新世纪嘉园分园,"",幼儿园,"",宁夏回族自治区,银川市,银川市直属
银川东晨第一幼儿园,"",幼儿园,"",宁夏回族自治区,银川市,银川市直属
银川东晨第二幼儿园,"",幼儿园,"",宁夏回族自治区,银川市,银川市直属
银川丽水幼儿园,"",幼儿园,"",宁夏回族自治区,银川市,银川市直属
银川众一海宝龙幼儿园,"",幼儿园,"",宁夏回族自治区,银川市,银川市直属
银川友爱幼儿园,"",幼儿园,"",宁夏回族自治区,银川市,银川市直属
银川启明星第一幼儿园,"",幼儿园,"",宁夏回族自治区,银川市,银川市直属
银川启明星第二幼儿园,"",幼儿园,"",宁夏回族自治区,银川市,银川市直属
银川天都幼儿园,"",幼儿园,"",宁夏回族自治区,银川市,银川市直属
银川市邮电幼儿园,"",幼儿园,"",宁夏回族自治区,银川市,银川市直属
银川星光华幼儿园,"",幼儿园,"",宁夏回族自治区,银川市,银川市直属
银川西夏德胜幼儿园,"",幼儿园,"",宁夏回族自治区,银川市,银川市直属
银川西夏新大地幼儿园,"",幼儿园,"",宁夏回族自治区,银川市,银川市直属
银川八一小学,"",小学,"",宁夏回族自治区,银川市,银川市直属
银川博文小学,"",小学,"",宁夏回族自治区,银川市,银川市直属
银川市博文小学,银川市兴庆区宗睦巷4号,小学,http://ycbwxx.com/,宁夏回族自治区,银川市,银川市直属
银川市实验小学,银川市兴庆区前进街7号,小学,http://www.nxzyk.com,宁夏回族自治区,银川市,银川市直属
银川西夏德胜小学,"",小学,"",宁夏回族自治区,银川市,银川市直属
银川八一小学,"",小学,"",宁夏回族自治区,银川市,银川市直属
银川博文小学,"",小学,"",宁夏回族自治区,银川市,银川市直属
银川市博文小学,银川市兴庆区宗睦巷4号,小学,http://ycbwxx.com/,宁夏回族自治区,银川市,银川市直属
银川市实验小学,银川市兴庆区前进街7号,小学,http://www.nxzyk.com,宁夏回族自治区,银川市,银川市直属
银川西夏德胜小学,"",小学,"",宁夏回族自治区,银川市,银川市直属
宁夏岳麓高级中学,"",中学,"",宁夏回族自治区,银川市,银川市直属
宁夏开元中学,"",中学,"",宁夏回族自治区,银川市,银川市直属
银川唐徕回民中学,银川市兴庆区唐徕小区,高中,http://www.tanglai.com/,宁夏回族自治区,银川市,银川市直属
银川外国语实验学校,"",中学,"",宁夏回族自治区,银川市,银川市直属
银川市二中西校区,银川市北京西路581号西夏小区,高中,http://www.nxzyk.com/,宁夏回族自治区,银川市,银川市直属
银川市实验中学,宁夏银川北京东路252号,高中,http://www.ycsyzx.com/,宁夏回族自治区,银川市,银川市直属
银川市第九中学,宁夏银川市金凤区贺兰山路,高中,http://www.nxyc9z.com/,宁夏回族自治区,银川市,银川市直属
银川市第二中学,银川市兴庆区中山北街英才巷151号,高中,http://www.nxyc2z.com/,宁夏回族自治区,银川市,银川市直属
银川市第六中学,金凤区福州街南,高中,http://www.nxyclz.cn/,宁夏回族自治区,银川市,银川市直属
银川景博中学,"",中学,"",宁夏回族自治区,银川市,银川市直属
银川英才学校,"",中学,"",宁夏回族自治区,银川市,银川市直属
银川高级中学,银川市兴庆区清河北街育德巷26-28号（北塔东路）,高中,http://www.ycsms.com/,宁夏回族自治区,银川市,银川市直属
